datetime,total_time,difficulty,question,user_answer,correct_answer,time_per_answer,right/wrong,score,total_score,correctness_percentage
2024-01-09 09:14:17,0 min,1,75 - 69,6,6,3.79,Right,1,1,100.0
2024-01-09 09:14:29,0 min,1,49 - 68,-11,-19,12.43,Wrong,0,1,50.0
datetime,total_time,difficulty,question,user_answer,correct_answer,time_per_answer,right/wrong,score,total_score,correctness_percentage
2024-01-09 09:17:57,0 min,1,9 * 6,54,54,11.67,Right,1,1,100.0
2024-01-09 09:17:59,0 min,1,0 * 10,0,0,2.1,Right,1,2,100.0
2024-01-09 09:18:01,0 min,1,5 * 10,50,50,1.46,Right,1,3,100.0
2024-01-09 09:18:05,0 min,1,9 // 2,"4,5",4,4.48,Wrong,-1,2,75.0
2024-01-09 09:18:09,0 min,1,6 + 4,10,10,3.35,Right,1,3,80.0
datetime,total_time,difficulty,question,user_answer,correct_answer,time_per_answer,right/wrong,score,total_score,correctness_percentage
2024-01-09 09:18:19,0 min,1,3 * 0,0,0,1.35,Right,1,1,100.0
2024-01-09 09:18:21,0 min,1,2 + 0,2,2,1.73,Right,1,2,100.0
2024-01-09 09:18:23,0 min,1,7 * 5,45,35,1.84,Wrong,-1,1,66.67
2024-01-09 09:18:25,0 min,1,3 + 3,6,6,2.22,Right,1,2,75.0
2024-01-09 09:18:27,0 min,1,4 * 9,36,36,2.07,Right,1,3,80.0
2024-01-09 09:18:33,0 min,1,3 // 2,1.5,1,6.22,Wrong,-1,2,66.67
2024-01-09 09:18:35,0 min,1,0 // 5,0,0,1.85,Right,1,3,71.43
2024-01-09 09:18:37,0 min,1,8 - 10,2,-2,1.91,Wrong,-1,2,62.5
2024-01-09 09:18:40,0 min,1,8 + 9,17,17,3.04,Right,1,3,66.67
datetime,total_time,difficulty,question,user_answer,correct_answer,time_per_answer,right/wrong,score,total_score,correctness_percentage
2024-01-09 09:27:24,0 min,1,4 + 7,11,11,3.69,Right,1,1,100.0
2024-01-09 09:27:28,0 min,1,1 - 5,-4,-4,3.66,Right,1,2,100.0
2024-01-09 09:27:30,0 min,1,4 + 9,13,13,1.88,Right,1,3,100.0
2024-01-09 09:27:31,0 min,1,3 + 3,6,6,1.13,Right,1,4,100.0
2024-01-09 09:27:38,0 min,1,8 + 4,12,12,6.73,Right,1,5,100.0
2024-01-09 09:27:42,0 min,1,0 // 1,1,0,4.35,Wrong,-1,4,83.33
datetime,total_time,difficulty,question,user_answer,correct_answer,time_per_answer,right/wrong,score,total_score,correctness_percentage
2024-01-09 09:28:42,0 min,1,7 * 0,0,0,1.27,Right,1,1,100.0
2024-01-09 09:28:44,0 min,1,10 - 9,1,1,1.21,Right,1,2,100.0
2024-01-09 09:28:45,0 min,1,0 / 7,0,0.0,1.2,Right,1,3,100.0
2024-01-09 09:28:48,0 min,1,1 - 5,-4,-4,3.17,Right,1,4,100.0
2024-01-09 09:28:51,0 min,1,5 - 10,-5,-5,3.05,Right,1,5,100.0
2024-01-09 09:28:52,0 min,1,5 - 3,2,2,1.29,Right,1,6,100.0
2024-01-09 09:28:54,0 min,1,6 - 7,-1,-1,2.11,Right,1,7,100.0
2024-01-09 09:28:56,0 min,1,6 * 2,12,12,1.65,Right,1,8,100.0
2024-01-09 09:28:57,0 min,1,7 + 0,7,7,1.45,Right,1,9,100.0
2024-01-09 09:28:59,0 min,1,0 * 6,0,0,1.29,Right,1,10,100.0
2024-01-09 09:29:01,0 min,1,4 - 3,1,1,1.79,Right,1,11,100.0
2024-01-09 09:29:02,0 min,1,5 - 4,1,1,1.32,Right,1,12,100.0
